Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Brazil,BRA,"Population, total",SP.POP.TOTL,150706446,175873720,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498
Brazil,BRA,Population growth (annual %),SP.POP.GROW,1.80985576444804,1.36677132973907,0.868346150167205,0.857834828724811,0.845992601345206,0.8112564782781,0.79226340042227,0.793768153848091,0.766107802084815,0.665176682246802,0.528590452919416,0.459583548488331
Brazil,BRA,Surface area (sq. km),AG.SRF.TOTL.K2,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,..,..
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,18.0310985458487,21.0422079553585,24.1347676636189,24.3426946665167,24.5495056316357,24.7494751224555,24.9463349501205,25.1451389902538,25.3385176606278,25.5076253807665,..,..
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,24,..,3.7,3.3,3.9,4.7,5.3,5.3,5.4,1.9,5.8,..
Brazil,BRA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,389692224212.687,687477614140.252,2571101638578.34,2457007472638.13,2084246948540.23,1839991635511.57,1808496325064.57,1920049773488.66,1953066623425.24,1686362831541.95,1692823917297.1,1753188080652.01
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2590,3910,12750,12080,10160,8890,8670,9140,9220,7910,7900,8140
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,970854098978.388,1536381998062.15,3090347659210.83,3127764536961.12,2958026429307.17,2876740136507.09,2962271099129.21,3058925247017.94,3154920115524.25,3110372805484.17,3393700487874.69,3716655944205.98
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,6440,8740,15320,15370,14420,13910,14210,14550,14900,14590,15830,17260
Brazil,BRA,Income share held by lowest 20%,SI.DST.FRST.20,2.3,..,3.5,3.6,3.6,3.3,3.2,3.1,3.1,4.5,3.3,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.985,69.737,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009,72.75,..
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.905,2.255,1.748,1.767,1.777,1.709,1.736,1.749,1.703,1.649,1.641,..
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,87.528,86.362,62.936,63.12,62.434,57.88,55.566,53.436,50.015,46.296,45.2,..
Brazil,BRA,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,80.2,..,..,..,..,..,..,..,..,..
Brazil,BRA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,98.6,98,98.4,98.2,98.6,98.7,98.8,99.1,..,..,..
Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,63.2,34.7,16.7,16.3,15.9,16.7,15.4,15.2,14.9,14.7,14.4,..
Brazil,BRA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,3.1,..,..,..
Brazil,BRA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,78,99,98,97,96,95,91,92,91,79,73,..
Brazil,BRA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,109.945137023926,110.316459655762,109.152183532715,108.757843017578,109.80850982666,108.623291015625,107.407470703125,105.498199462891,..,..
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,103.917678833008,102.635528564453,100.920516967773,102.569511413574,103.015960693359,105.00707244873,103.953277587891,104.125999450684,..,..
Brazil,BRA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,1.01664996147156,1.01811003684998,1.01473999023438,1.00854003429413,1.00513005256653,1.00668001174927,1.00990998744965,1.00648999214172,..,..
Brazil,BRA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,..
Brazil,BRA,Forest area (sq. km),AG.LND.FRST.K2,5888980,5510886,5069631.6,5054239.8,5038848,5020821,5000916,4990514,4977985,4966196,..,..
Brazil,BRA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,20.7372842292403,28.5782526119273,28.5782526119273,28.5782512013805,29.2372083081929,29.2563048918493,29.2563048918493
Brazil,BRA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,0.735735735735736,0.991167638226462,1.19069731496202,1.14859565447801,1.1280692457163,1.17134781840664,1.16021904257198,1.17470411588059,1.19130895601484,1.18689277512807,..,..
Brazil,BRA,Urban population growth (annual %),SP.URB.GROW,2.87472984486413,2.22769397356534,1.20455580861832,1.18940932455394,1.17064141409405,1.12788207695939,1.10209658803347,1.09455847667219,1.06023755345792,0.951553410794994,0.808423004096535,0.731782791660602
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,930.331453772057,1065.77369262446,1456.10904746834,1490.42584610757,..,..,..,..,..,..,..,..
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.31313162278407,1.7835001158786,2.4134465369818,2.51459195963426,2.36536062099671,2.16125984748939,2.18548661863967,2.06426147881772,2.05077012882977,1.94252335631484,..,..
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1444.2514290331,1885.66546497112,2560.09555974195,2610.99928167575,..,..,..,..,..,..,..,..
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,464989098144.854,655448188246.11,2472819362259,2456043766063.5,1802211999555.59,1795693265824.27,2063514688761.67,1916933708404.16,1873288159000.64,1476107292036.59,1649622972159.35,1920095560995.06
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.35000000000022,4.38794944745618,3.00482266944432,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.98884970066018,2.90053061522693
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2736.97067768831,5.60606514085735,7.50456453292993,7.84670974352809,7.56617501207116,8.10360435870246,3.67138451275035,4.49353433137021,4.22425886899158,6.47249960755747,11.3840669684878,8.28319419036838
Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.96344065508138,4.75045997570861,4.5068861822272,4.32561053706441,4.31914942775652,4.89135358685971,4.60059169424122,4.42039930378329,4.20501409570354,5.71148511675454,7.48692132808022,6.81318197126279
Brazil,BRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,33.2718833933397,23.0066186321239,21.2248099517239,20.4724627523359,19.3600439758784,18.3547582819084,18.1885023124362,18.7490514539899,18.7546275752859,19.506118396283,20.1501991631351,20.6976228826191
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,8.19723805886395,10.1880480043795,11.7422306432624,11.0119428225147,12.9001914177405,12.4666790443888,12.5189678700669,14.6349994952986,14.1229191903622,16.4535520041337,19.5616763376612,20.045538006281
